Messages,Sentiment
Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,
buy pnb housing for a target of 580 rs it will blast within a short period.,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
Ready for next week with previous holdings its ready for break again with more profit...,
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
See how pathetic is this stock. After the dip all stocks recovered more than 5%. This crap struggling.,
buy asian paints at cmp RS 3082 target 3320,
2k22 has been so Unprecedented for Long term most likely to confirm acceptance change the game.......bnfs.at/891c,
Investing is not an easy mind game ....it requires patience to feel the power of stock market..... bnfs.at/891c,
Stock seen heavy volumes in last couple of days due to the latest news like investment for more info v.gd/GjmAyK,
For some it might be fundamentally strong but a pro trader should understand the impact of FII and DII too. for more info v.gd/GjmAyK,
why crude is going down Any reason??,
sell Asian paints for target of 2850 before expiry.,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
"lets make phenomenal gains together on high conviction opportunities amd grow big together, wtzp .702.153.76.82",
"profits are made when sitting in the right direction at right entry!, for profit sharing basis wtzp 70.215.37.682",
centrum broking is giving buy target 3690,
This stock is expected to stay on the upward trajectory from a short to medium-term perspective for more info v.gd/GjmAyK,
Buy this level target 3450 tomorrow  rocket,
Stock Market latest news for more info v.gd/GjmAyK,
seems mkt budget rally is also over ... mkts not supportive on up side as if now .. so for any long do take care...,
The impact of Demand and supply creating ruckus in buying sector to know the target and SL for more info v.gd/GjmAyK,
Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,
Learning purpose to gain profit through short sell in same day because of purchasing at low price,
"sell my target 3100 today, crude price is going up up up",
asian paints today having breakdown chart and we will see upward move after cross the 100DMA breaking candel,
Having downward trend from which we can short sell these share,
Having trend toward down thats why sell and then buy at low price,
Have an opinion on this news? Post your comment here.,
This week will be the make or break for this stock,
Low Interest rates and system liquidity will be a reason for bullish in upcoming trading sessions. To know when exactly to trade for more info v.gd/GjmAyK,
For some it might be fundamentally strong but a pro trader should understand the impact of FII and DII too. for more info v.gd/GjmAyK,
To know the stocks details and updates for more info v.gd/GjmAyK,
Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
experts feel that new traders should invest in small amounts to test the waters.,
That s because company stocks are usually volatile in the first hour of the day.,
Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,
"Good correction happened in fundamentally super strong stock, buy now for the TGT of 3560 in few days and 52 week high in Feb 22.",
Sound working capital management will be strong point to take this up with proper SL and target for more info v.gd/GjmAyK,
Asian Paints buy & hold target is 3550 with stop-loss at 3256 for the next 2 months. for more.v.gd/7VM4Cb,
"this will become zero, never buy far out of the money call.",
Stock Market latest news for more info v.gd/GjmAyK,
Friends - Important lesson - Often we are unhappy because others are happy. Comparisons and jealousy will not let us enjoy our own wealth :),
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
1200 closed 7.65 yesterday . 1180 is a big resistance likely until feb expiry,
buy hcl tech. at 1080.50.... good return will come... easily reach..1200,
Apple lifted tech stock index. Nasdaq up finally 417 points. Wipro adr up 4.5%. Boom in tech stockk of india on Monday.,
HCL TECH SHOWING GOOD STRENGTH STRONG LEVELS KEEP HOLD FOR LONG TURM..,
"As said below that Apple has posted good results, the Nasdaq has turned in green at 105 points from red of 9 points.",
Nasdaq has entered in green color by 61 points.,
"Apple posted good results. Therefore, Nasdaq is stable with 9 points minus. We can see current in IT stocks on Monday and after budget also. Budget always remains neutral for It stocks.",
"Bottoms in the investment world don t end with four-year lows, they end with 10- or 15-year lows. - By Jim Rogers.",
I have bought one lot 1370ce Feb at 6.74 what will happen please guide,
Fundamentally strong stock add at every dips for long term for more... Queen of future,
Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
Simple if it is moving up every day then stock limit is sky. 10 down move will cover in a single day so invest and wait with patience in good stocks,
Have an opinion on this news? Post your comment here.,
Have an opinion on this news? Post your comment here.,
Nasdaq has entered in green color by 61 points.,
"Apple posted good results. Therefore, Nasdaq is stable with 9 points minus. We can see current in IT stocks on Monday and after budget also. Budget always remains neutral for It stocks.",
"Bottoms in the investment world don t end with four-year lows, they end with 10- or 15-year lows. - By Jim Rogers.",
I have bought one lot 1370ce Feb at 6.74 what will happen please guide,
Fundamentally strong stock add at every dips for long term for more... Queen of future,
Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
Simple if it is moving up every day then stock limit is sky. 10 down move will cover in a single day so invest and wait with patience in good stocks,
Have an opinion on this news? Post your comment here.,
Have an opinion on this news? Post your comment here.,
Nasdaq has entered in green color by 61 points.,
"Apple posted good results. Therefore, Nasdaq is stable with 9 points minus. We can see current in IT stocks on Monday and after budget also. Budget always remains neutral for It stocks.",
"Bottoms in the investment world don t end with four-year lows, they end with 10- or 15-year lows. - By Jim Rogers.",
I have bought one lot 1370ce Feb at 6.74 what will happen please guide,
Fundamentally strong stock add at every dips for long term for more... Queen of future,
Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
Simple if it is moving up every day then stock limit is sky. 10 down move will cover in a single day so invest and wait with patience in good stocks,
Have an opinion on this news? Post your comment here.,
Have an opinion on this news? Post your comment here.,
Nasdaq has entered in green color by 61 points.,
"Apple posted good results. Therefore, Nasdaq is stable with 9 points minus. We can see current in IT stocks on Monday and after budget also. Budget always remains neutral for It stocks.",
"Bottoms in the investment world don t end with four-year lows, they end with 10- or 15-year lows. - By Jim Rogers.",
I have bought one lot 1370ce Feb at 6.74 what will happen please guide,
Fundamentally strong stock add at every dips for long term for more... Queen of future,
Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
Simple if it is moving up every day then stock limit is sky. 10 down move will cover in a single day so invest and wait with patience in good stocks,
Have an opinion on this news? Post your comment here.,
Have an opinion on this news? Post your comment here.,
"Subject: Release - HCL Technologies Expands Reach in Canada with New Engineering and R&D CenterDear Sir/ Madam,Enclosed please find a release on the captioned subject being issued by the Company today.This is for your information and record...&nbsp",
HCL Tech posted the highest Q3 revenue jump in 12 years. The sequential 7.6% dollar revenue growth beat even its peers. ..good co to add in every dip..,
"why IT companies are down in the recent days??? simple reason: US tech stocks are down, so indian IT stocks going down. no rocket science here. today tech stocks are trading green, tomorrow all IT companies would trade flat to green.",
selling pressure more seen in hcl tech pullback not facing good here target in downside take way to 1055 or 1020 levels may be 980 levels we can seen in hcl tech,
Dow up 500 points. Sgx up 68 points. Seems relief rally tomorrow.,
when will dividend credit to the account? any info pl.,
HCLtech is showing a double top pattern on daily and weekly chart. neckline has already broken. Expect a trend reversal to the downside with first target of 900,
"Some fake people is doing comedy, bloo..dy he..ll u never understand others pain who lost huge money in this MC stock, god pls give hime this situation atleast 2 years",
"US and European markets are green after a long time , its time to enter into thia script . market can take U turn from here as all the indicators are suggesting . Also the negative news of interest rates increment from US fed is already abs...&nbsp",
Maintain Buy on HCL tech sl 1060 closing basis tg 1150 and Longterm tg 1400,
"There will be a trend reversal in IT stocks from tomorrow. Great opportunity to buy gems like Infy, HCL Tech and Wipro today for long term investment.",
Nasdaq is still in downside dont hurry to buy this let it fall for while once US market start stabilize then start to add,
Today is the last day for bottom fishing. from tomorrow IT rally will astonish everyone. Buy HCL tech in bulk immediately,
Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,
Unless HCL is shutting down i dont see a reason why its down by almost 27% - My target for HCL Tech is Rs 1250 for the short term with a stoploss of Rs 1000,
"It is buy time now. As said on next day of result, it has touched 1080 rwo times. In this range it is strongly delivery buy for a max Rs. 200/ gain in next 2 months.",
no margin in business I think hcl touch 890 again ceo words ofter 2 quarter margin will sustain.,
"Strong levels, Good Result, Consolidated in last week,",
I suggested to book full profits at 1300 plus and see all my followers enjoy the good profits. I also suggested to add below 1090 its also come true but this is not a time to buy in a one time. Its come down and its has logic and that is th...&nbsp,
Stock seen heavy volumes in last couple of days due to the latest news like investment from Reliance.for more info v.gd/GjmAyK,
Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,
Disinvestment is on a high agenda and priority for our government now. Get Stocks list who will benefit the most,
when dividend will will be deposit in the account,
Buy Confidence Petro Buy promoter increase his holding and Sep quarter Profit is double so buy buy buy,
"if index options are your cup of tea, for profits remember",
Tomorrow be ready all operator for strong upper circuit be ready for retailer buying opportunity........bnfs.at/891c,
BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST TELGRRM.......... bnfs.at/891c,
Huge upside potential. Good fundamentals and is currently trading at more than reasonable PRICE. TO GET INSIGHT ON SHORT TERM for more info v.gd/GjmAyK,
Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
This stock is ready to show you more power very soon so be ready before buy on right levels...,
Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,
Buy HCL Tech with target of 1142 & Stop loss at 1119...visit goyaltips,
Tomorrow be ready all operator for strong upper circuit be ready for retailer buying opportunity........bnfs.at/891c,
BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST TELGRRM.......... bnfs.at/891c,
Unlikely scenario analysis developed strong analytical skills developed strong. How? ..........bnfs.at/891c,
Fundamentally strong stock add at every dips for long term for more... bnfs.at/891c,
After few days aap sab ko ye Price 1130 dekh ne ko nai Milega,
Buy at cmp with in few days all IT STOCK WILL FIRE GUYS BELIEVE ME.,
Entire IT sector will be Boom in February Month guys just buy your favorite stock.,
Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,
"An investment operation is one which, upon thorough analysis promises safety of principal and an adequate return. Operations not meeting these requirements are speculative. -Benjamin Graham",
"Some Unauthorized News is coming from another forums, check now... Queen of future",
"A Daily downtrend of 20-40, What the hell is going on, no respite, no end visible",
Have an opinion on this news? Post your comment here.,
"making money is all about correct timing and skill, if you are really interested in profit sharing then wtzp .70.215.37.682",
"dont suffer more losses, If you are interested in earning big from the market and recovery of your big losses together on profit sharing basis then wtzp 702.15.37.682",
Friends if you are genuinely interested to work together and grow mutually then dont gamble anymore lets work to grow together on profit sharing basis Wtzp .70.215.37.682,
"profits and losses are a part of the market and we cannot escape it we have to accept it gracefully and learn to capture the best out of it, if you are interested to work together on profit share then Wtzp. 702.153.76.82",
"The stock is close to its support zone of 1090-1100. If by any chance, the stock goes below this zone then the next support of 1050 will be tested but if it holds above that level then we can see resistance between 1160-1190 zone. From the ...&nbsp",
Sell HCL Tech with target of 1135 & Stop loss at 1157...visit goyaltips,
.....buy hcl tech 1140-1135 cbsl 1125 target 1170-1185-1200..........,
Right time buy and right time sell see i suggested to book full profits above 1300 and now 1144. The current price i am not suggested to sell but no fresh buy wait to see 1090 and than start. In the meantime i suggested to add only idfc fir...&nbsp,
"hcl tech seen oversold now, in high 1377 seen, now 1170 means looks opportunity to buy this super IT stock now....target 1500.",
"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",
Fundamentally the stock is in bright spot and it is over sold. now one can build a portfolio with this stock nearing between 100 dma to 200 dma. the rational behind mgmt is made mandate that it will declare 75% of the profit as dividend. TH...&nbsp,
"I think one person is in this from HCL management , bloody hell HCL technologies will be on under the floor very soon",
"HCL technologies will be in very bad condition very soon,MD and CEO both are hiding actual picture, somthing very fishy in side",
buy hcl tech 1168 target open 1273 1600 1800 stop loss 1143 .1143 is very big support.so guys buy for long term v r getting at very cheap rate,
HCL technology will sustain and starts journey towards 1300.Just buy it.,
Are you also remained confused about when to buy and sell a stock.,
strongly recommend this stock for buying,
Telle grm Profit_Junction Dr reddys is in range from past 2 weeks. Wait for breakout. Buy abv 4700 for 5200 and sell below 4480 for 4100 tgt. I share freee intraday caallls in my Tellee grm Profit_Junction,
Telle grm Profit_Junction : HUL started its bullish trend as per stochastics in hourly chart. To learn chart reading and get fresh freee intrdy caallls in my Telleegrm Profit_Junction Buy it above swing high 2400 for next resistances 2700/3...&nbsp,
"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",
check my trgtvachieved of 15000 stilling I over valued stay away for sometime,
Have an opinion on this news? Post your comment here.,
An options contract is an arrangement between two parties that grant rights to buy or sell an asset at a particular time in the future for a particular price.,
"Iex 300 coming good refovery sighn today at , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
check my trgtvachieved of 15000 stilling I over valued stay away for sometime,
Have an opinion on this news? Post your comment here.,
An options contract is an arrangement between two parties that grant rights to buy or sell an asset at a particular time in the future for a particular price.,
"Iex 300 coming good refovery sighn today at , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
check my trgtvachieved of 15000 stilling I over valued stay away for sometime,
Have an opinion on this news? Post your comment here.,
An options contract is an arrangement between two parties that grant rights to buy or sell an asset at a particular time in the future for a particular price.,
"Iex 300 coming good refovery sighn today at , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
check my trgtvachieved of 15000 stilling I over valued stay away for sometime,
Have an opinion on this news? Post your comment here.,
An options contract is an arrangement between two parties that grant rights to buy or sell an asset at a particular time in the future for a particular price.,
"Iex 300 coming good refovery sighn today at , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
IRCTC and IEX are shares with huge premium for options both sides. for more info v.gd/GjmAyK,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
This stock is expected to stay on the upward trajectory from a short to medium-term perspective for more info v.gd/GjmAyK,
Unlike Other sectors IT sector is impacted by many factors Can Market correction impact Infy badly? To get all answers v.gd/GjmAyK,
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
Stock seen heavy volumes in last couple of days due to the latest news like investment for more info v.gd/GjmAyK,
"This stock might give you 2x,3x return this year without a doubt... extremely bullish",
thanks for larger gyan bhai deepesh... crude ko kaise buy karu? kya share buy karu?,
"PERSONS HAVING NO CONFIDENT IN TTML SHOULD MOVE OUT AT THE EARLIEST CHANCES, AND MOVE TO NIFTY 50 SHARES SAFE AND SECURED TO MOVE STEADILY ON LONG RUN",
The impact of Demand and supply creating ruckus in buying sector to know the target and SL for more info v.gd/GjmAyK,
Best time for investment in pharma more detls. DONT MISS THIS,
speedy recovery is expected from these levels...buy for for huge profit..,
crude is down toady. what levels we should add??,
kitna add karange bhai Roopesh? sorry i mean Deepesh... can i suggest you something? your face is very ugly so please change the photo quickly... please roopppppeeeeesssshhhhhh,
"We take the quality of the messages posted on forum as seriously as our articles. Kindly follow our Code of Conduct and refrain from posting any abusive, promotional or gibberish content on forum.",
15000 ...15200 2nd target 15400 1st target... it will go down...from here..,
Having downward trend which can help in short selling in same day,
Have an opinion on this news? Post your comment here.,
Queen of futures is a fool sending same message to all the counters wasting our time. Delete him from the forum at all counters.,
lets make green together and recover your losses wtzp .70.215.37.682 for sharing basis,
"market are all about correct patient trades and Mindset, if you are genuinely interested in growth together on profit sharing then wtzp .702.15.37.682",
guys if you are really tired of making frequent losses in the market and looking for good recovery together on profit sharing then wtzp.70.215.37.682,
For some it might be fundamentally strong but a pro trader should understand the impact of FII and DII too. for more info v.gd/GjmAyK,
"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",
Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
The notional wealth of equity investors has suffered an over Rs 8-lakh-crore dent across four straight sessions with the benchmark equity indices down nearly 4 percent. The US markets are down for the fifth consecutive day with tech-heavy N...&nbsp,
"bahot hi kabada me gayi company h ... now investors will scare to invest into this high valuation company ...by seeing pathetic profits, it should have been 8000 in real ... but reached excessive valuation",
Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,
Investing is not an easy mind game ....it requires patience to feel the power of stock market..... bnfs.at/891c,
"The supreme court case for gtl infra vs ed arc, gtl infra side case handled by abhishek manu singhvi, which means manoj t has strong support.... bnfs.at/891c",
The weekly momentum indicator has triggered a bullish crossover. However The RSI factor should be considered to analyse the Entry point.for more info v.gd/GjmAyK,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,
Stock Market latest news for more info v.gd/GjmAyK,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
"Buy upl cmp 711 and above target 750/800 soon , forAnyTips OrHelp wtzp... 73OO : 7311 44",
Ready for sustain again on coming days so be ready for see more actions for more updates and tipx wtzppp on 844549: 2O56,
Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,
"BUY IOC 120 SL 119 TARGET 122/123, For AnyTips OrHelp wtzp... 73OO7 :311 :44",
"dr reddy cmp 4593 looking good for 4700/5000 , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
This stock is a very good choice to your portfolio ...buy at current levels for Good investment For AnyTips OrHelp wtzp... 73OO7 :311 :44,
"dont lose your hard earned money by gambling, lets work on high conviction on profit sharing wtzp .702.15.376.82",
lets grow big together on profit sharing basis amd grow big wtzp on .702.15.376.82,
"making money is all about correct timing and skill, if you are really interested in profit sharing then wtzp .70.215.37.682",
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
"Iex 300 coming good refovery sighn today at , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
some positive news on the way.... buy bajajfinserve cmp,
Telle grm Profit_Junction Dr reddys is in range from past 2 weeks. Wait for breakout. Buy abv 4700 for 5200 and sell below 4480 for 4100 tgt. I share freee intraday caallls in my Tellee grm Profit_Junction,
stock back in action again buy & hold 4 more returns in upcoming days for more live updates & tipsz wtzppp on 844549:2O 56,
Guys dont loss your money in blind trading buy now best this stock8269379439,
"lets make phenomenal gains together on high conviction opportunities amd grow big together, For AnyTips OrHelp wtzp... 73OO7 :311 :44",
For Stocks Quarterly result updates more info v.gd/GjmAyK,
Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
For some it might be fundamentally strong but a pro trader should understand the impact of FII and DII too. for more info v.gd/GjmAyK,
Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,
THOUGH ITS UP DOWN BUT OVER ALL OUR MARKET WILL CONTINUOUSLY GO UP AND UP ... NIFTY 24000 IN JUST 6 MONTHS ... SO INVESTORS WILL BE KING,
Any one wants to sell in this stage that is appreciate you and wait for more down side.It is playing game with up and down so always goes up and than next day down.This trend will remain up to 20th Jan so take benefit of this trend.,
"possible chance to break all time high of 19325 as results are also awaited and will be good as even after good results in Sept, seen continuous correction till Nov end. hope it to cross 19500 and best chance to invest currently.",
Profit booking would be seen now in this stock now book ur profit....wait to reenter at lower levels.....,
Down down...up and up...down..up...downup...ye kya he yaar...kaha tak jayega ye abhi age?Should it touch 19000?Today?...Lets see power of stock market...and also this of experts please.,
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
Stock Market latest news for more info v.gd/GjmAyK,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
To know the stocks details and updates for more info v.gd/GjmAyK,
speedy recovery is expected from these levels...buy for for huge profit..,
Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,
"Telle grm Profit_Junction : Dabur is bearish as per indicators in short term, buy it abv 588 for a tgt of 630 and sell it below 560 for a tgt of 530 in a week. I give freee intrdy sugggestions in my Tellee grm Profit_Junction",
Force Motors trades higher as its SCV & LCV production stands at 967 units in December,
Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cost Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cos........... bnfs.at/891c,
Growth oriented stocks will be accumulated heavily by fiis and diis. Full list available............ bnfs.at/891c,
Fundamentally strong stock add at every dips for long term for more..,
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
Are you also remained confused about when to buy and sell a stock.,
today nifty will drag badly... good chance of profit booking this time....,
Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cost Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cos........... bnfs.at/891c,
Growth oriented stocks will be accumulated heavily by fiis and diis. Full list available............ bnfs.at/891c,
tata steel acquired NINL nilanchal ispat nigam limited for 12000 crore,
both target hit profit booking may start now..long term players may hold or try to reenter at lower levels,
Sound working capital management will be strong point to take this up with proper SL and target for more info v.gd/GjmAyK,
TATASTEEL ITS A RIGHT TIME TO BUY CONSDLIATION OVER SOON WE CAN SEE UPSIDE MOVEMENT 1100-1150-1200 SL 1050 MORE AT v.gd/2OfFD6,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
"results are on 4th feb. Here, nobody is talking about tata steel bsl which merged onto TS. Balance sheet will be mamooth and results will surely beat expectations. Even a target of 1500/1700 cannot be ruled out.",
"before results, definitely there will be short covering. if so, and if it holds around 1150 by Feb 3, after results it will go above 1250 short term. for sure there will be higher profit YoY. stay invested.",
Tata Steels target is 1385 for the next 3 months with stop-loss at 981. for more v.gd/7VM4Cb The buy & hold target of TATA Steel is 1710 for the next 6 months with stop-loss at 981. for more v.gd/7VM4Cb,
"with much steel demand to make syringes , do you think tatasteel can touch new highs ?",
Looking strong from long-term perspective,
"Results were scheduled for 7th February, is it getting preponed?",
Super duper results on feb 4,
tata steel is gem for long time..its share price doesnt depend on some few useless comments.itll reach level 1300 by Feb end thats for sure...,
may be you have come to know by now,
have you shorted based on my comment if yes say so,
Puru I think you have enough time. Pls write book on TATA Steel on paper mode. Here getting post every two three minutes gap from you. Pathetic. All are adult here and know everything. Not need lots of post on same subject.,
This co is the cheapest and oldest manufacturer of steel. Its PE ratio is 4 or 5. This is an excellent share to buy and forget. Speculators must not buy this share.,
Market gives a chance to decide the right company for long investments. Take your call accordingly. Do not blindly follow the brand names which has 0 zero and negative returns on your investments. Think and invest safely.,
As mentioned earlier it is much manipulated share by the management of company along with the operators. Small time investors and traders stay away from this company to save your money.,
Bcoz of tata steel other steel companies are getting hammered. Hold on to other steel shares one can make a good money,
"Results were scheduled for 7th February, is it getting preponed?",
Super duper results on feb 4,
tata steel is gem for long time..its share price doesnt depend on some few useless comments.itll reach level 1300 by Feb end thats for sure...,
may be you have come to know by now,
have you shorted based on my comment if yes say so,
Puru I think you have enough time. Pls write book on TATA Steel on paper mode. Here getting post every two three minutes gap from you. Pathetic. All are adult here and know everything. Not need lots of post on same subject.,
This co is the cheapest and oldest manufacturer of steel. Its PE ratio is 4 or 5. This is an excellent share to buy and forget. Speculators must not buy this share.,
Market gives a chance to decide the right company for long investments. Take your call accordingly. Do not blindly follow the brand names which has 0 zero and negative returns on your investments. Think and invest safely.,
As mentioned earlier it is much manipulated share by the management of company along with the operators. Small time investors and traders stay away from this company to save your money.,
Bcoz of tata steel other steel companies are getting hammered. Hold on to other steel shares one can make a good money,
"Results were scheduled for 7th February, is it getting preponed?",
Super duper results on feb 4,
tata steel is gem for long time..its share price doesnt depend on some few useless comments.itll reach level 1300 by Feb end thats for sure...,
may be you have come to know by now,
have you shorted based on my comment if yes say so,
Puru I think you have enough time. Pls write book on TATA Steel on paper mode. Here getting post every two three minutes gap from you. Pathetic. All are adult here and know everything. Not need lots of post on same subject.,
This co is the cheapest and oldest manufacturer of steel. Its PE ratio is 4 or 5. This is an excellent share to buy and forget. Speculators must not buy this share.,
Market gives a chance to decide the right company for long investments. Take your call accordingly. Do not blindly follow the brand names which has 0 zero and negative returns on your investments. Think and invest safely.,
As mentioned earlier it is much manipulated share by the management of company along with the operators. Small time investors and traders stay away from this company to save your money.,
Bcoz of tata steel other steel companies are getting hammered. Hold on to other steel shares one can make a good money,
"Results were scheduled for 7th February, is it getting preponed?",
Super duper results on feb 4,
tata steel is gem for long time..its share price doesnt depend on some few useless comments.itll reach level 1300 by Feb end thats for sure...,
may be you have come to know by now,
have you shorted based on my comment if yes say so,
Puru I think you have enough time. Pls write book on TATA Steel on paper mode. Here getting post every two three minutes gap from you. Pathetic. All are adult here and know everything. Not need lots of post on same subject.,
This co is the cheapest and oldest manufacturer of steel. Its PE ratio is 4 or 5. This is an excellent share to buy and forget. Speculators must not buy this share.,
Market gives a chance to decide the right company for long investments. Take your call accordingly. Do not blindly follow the brand names which has 0 zero and negative returns on your investments. Think and invest safely.,
As mentioned earlier it is much manipulated share by the management of company along with the operators. Small time investors and traders stay away from this company to save your money.,
Bcoz of tata steel other steel companies are getting hammered. Hold on to other steel shares one can make a good money,
1300 before result... multi fold profit...,
Short tata steel on every rise. Hope people have short at 1124. Carry long your short posistions. Difficult for tata to raise. Fundemantally all the stocks of tata groups sinking the same boat.,
Looking week From.here so wait for dip and buy more. for more live market updatez tipxz wtzpp on 84454:92O56,
tata steel must close above 1110. for next rally.. steel sector will boom in few days,
Buy Tata Steel with target of 1136 & Stop loss at 1113...visit goyaltips,
To knw Queen of future This stock may give u 2x 3x returns this year for sure ..very bullish on techincal chart For any help orTips.... To knw Queen of future,
"Mr Praneeth : you want to short this scrip and earn, thats why you spread all kind of rubbish about this scrip.",
"its looking very weak for target 1400 in Feb, but I can assure 1200.",
Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,
buy before 1:30 target 1400 in this month,
TATASTEEL BUY ON DIP AND ADD IN PORTFOLIO FOR GOOD SUPPORT KEEP TGT AROUND 1120 - 1135- 1160 SL 1050,
TATASTEEL BUY ON DIP AND ADD IN PORTFOLIO FOR GOOD SUPPORT KEEP TGT AROUND 1120 - 1135- 1160 SL 1050,
"Neelanchal Ispat bid is won by Tata Steel, soon this news will be out in a day or two.",
It is already oversold. From Nov multiple times it tested Rs1100 zone. Nothing left for sell. Will go towards 1400 very quickly by Feb end. Also 1250 and 1300 selling zone. Profit booking will happen and customers who have taken it high val...&nbsp,
TATA STEEL - strongly recommend this stock for buying for more details...,
this crap is struggling at 1120 then how anyone can expect a target of 1380...hahaha,
Buy tata steel At current rate will give good returns with target of 1259.Metal sector will zoom due to budget provisions,
"At PE of less than 5 and with the growth prospects this company has , it should be scaling up big time .",
Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,
hi all. tata steel will fire tomorrow ? any targets ?,
Tesco is gone sell today for target of 1000 selling spree will be seen,
sell at cmp target of 1040-1000 today today,
"nifty can be corrected till levels of 16500 today sell Tata steel Target of 1030-1000 followed by 900,800,700,500,300,200 no chance of revival",
